magnitude,alpha,beta,b_star,stability
1.0,1.131578947368421,0.8552631578947368,-3.2783865175868456e-13,0
1.0,1.131578947368421,0.9026315789473683,-5.377858257733304e-13,0
1.0,1.131578947368421,0.95,-1.105903172649354e-12,0
1.0,1.236842105263158,0.05,3.107561155009126e-11,0
1.0,1.236842105263158,0.09736842105263158,1.6752043091935584e-12,0
1.0,1.236842105263158,0.14473684210526316,1.9559534816109738e-11,0
1.0,1.236842105263158,0.19210526315789472,3.354312636342674e-12,0
1.0,1.236842105263158,0.23947368421052628,-1.2180128361575955e-11,0
1.0,1.236842105263158,0.28684210526315784,-2.4114092706169845e-11,0
1.0,1.236842105263158,0.33421052631578946,-6.996907412196916e-12,0
1.0,1.236842105263158,0.381578947368421,1.9250668304471885e-12,0
1.0,1.236842105263158,0.4289473684210526,3.6102748878893813e-13,0
1.0,1.236842105263158,0.47631578947368414,1.2433834566670764e-13,0
1.0,1.236842105263158,0.5236842105263158,-2.1253468868508118e-13,0
1.0,1.236842105263158,0.5710526315789474,-3.809946260685153e-14,0
1.0,1.236842105263158,0.618421052631579,-2.4501315861448436e-13,0
1.0,1.236842105263158,0.6657894736842105,-1.6346222678109737e-14,0
1.0,1.236842105263158,0.7131578947368421,-1.5457152752115262e-14,0
1.0,1.236842105263158,0.7605263157894736,-2.3446711070001263e-14,0
1.0,1.236842105263158,0.8078947368421052,-6.953517352777053e-14,0
1.0,1.236842105263158,0.8552631578947368,-2.928308735693627e-13,0
1.0,1.236842105263158,0.9026315789473683,-4.727189959406389e-13,0
1.0,1.236842105263158,0.95,-1.3122192224270288e-12,0
1.0,1.3421052631578947,0.05,2.4309461470838514e-09,0
1.0,1.3421052631578947,0.09736842105263158,-2.4507930678048265e-12,0
1.0,1.3421052631578947,0.14473684210526316,9.662968850581371e-11,0
1.0,1.3421052631578947,0.19210526315789472,-4.428121070472528e-13,0
1.0,1.3421052631578947,0.23947368421052628,-1.5307883170621236e-11,0
1.0,1.3421052631578947,0.28684210526315784,2.196726025577434e-11,0
1.0,1.3421052631578947,0.33421052631578946,6.2045788656570365e-12,0
1.0,1.3421052631578947,0.381578947368421,1.928254203749671e-12,0
1.0,1.3421052631578947,0.4289473684210526,9.6288174082881e-13,0
1.0,1.3421052631578947,0.47631578947368414,-2.8847250902439625e-13,0
1.0,1.3421052631578947,0.5236842105263158,5.949780233032475e-15,0
1.0,1.3421052631578947,0.5710526315789474,1.4347560039464423e-15,0
1.0,1.3421052631578947,0.618421052631579,-1.0796224891812528e-14,0
1.0,1.3421052631578947,0.6657894736842105,1.230193358459654e-14,0
1.0,1.3421052631578947,0.7131578947368421,-1.3753423886387256e-14,0
1.0,1.3421052631578947,0.7605263157894736,-4.7211311051521887e-14,0
1.0,1.3421052631578947,0.8078947368421052,-9.915863266744202e-14,0
1.0,1.3421052631578947,0.8552631578947368,-2.516442355610308e-13,0
1.0,1.3421052631578947,0.9026315789473683,-5.299847583300601e-13,0
1.0,1.3421052631578947,0.95,-1.3635152655914338e-12,0
1.0,1.4473684210526314,0.05,-3.1764358064903144e-09,0
1.0,1.4473684210526314,0.09736842105263158,9.472022294282466e-12,0
1.0,1.4473684210526314,0.14473684210526316,9.885880437509378e-11,0
1.0,1.4473684210526314,0.19210526315789472,-4.68157595087408e-12,0
1.0,1.4473684210526314,0.23947368421052628,1.1642427708589885e-11,0
1.0,1.4473684210526314,0.28684210526315784,1.1172044823934422e-11,0
1.0,1.4473684210526314,0.33421052631578946,3.3234409345918676e-13,0
1.0,1.4473684210526314,0.381578947368421,2.690813321438481e-12,0
1.0,1.4473684210526314,0.4289473684210526,1.0503171706402597e-14,0
1.0,1.4473684210526314,0.47631578947368414,1.15698599290116e-13,0
1.0,1.4473684210526314,0.5236842105263158,5.332999318292856e-12,0
1.0,1.4473684210526314,0.5710526315789474,1.1646292937105211e-14,0
1.0,1.4473684210526314,0.618421052631579,3.657305168213548e-13,0
1.0,1.4473684210526314,0.6657894736842105,-3.776827016302879e-14,0
1.0,1.4473684210526314,0.7131578947368421,-1.7057777403382504e-14,0
1.0,1.4473684210526314,0.7605263157894736,-3.4507409631063394e-14,0
1.0,1.4473684210526314,0.8078947368421052,-1.5244318555244806e-13,0
1.0,1.4473684210526314,0.8552631578947368,-3.4178375822547303e-13,0
1.0,1.4473684210526314,0.9026315789473683,-6.633397205546944e-13,0
1.0,1.4473684210526314,0.95,-1.1614665302156713e-12,0
1.0,1.5526315789473684,0.05,4.7292094477480554e-11,0
1.0,1.5526315789473684,0.09736842105263158,1.1839991429832572e-12,0
1.0,1.5526315789473684,0.14473684210526316,-5.698637742926434e-13,0
1.0,1.5526315789473684,0.19210526315789472,9.661559775311465e-14,0
1.0,1.5526315789473684,0.23947368421052628,7.552988265111133e-12,0
